Rank,State,Rate
1,NORTH DAKOTA,3.4
2,NEBRASKA,4.1
3,SOUTH DAKOTA,4.3
4,NEW HAMPSHIRE,5.2
5,VERMONT,5.3
6,IOWA,5.7
7,WYOMING,5.8
8,MINNESOTA,5.9
9,OKLAHOMA,6.1
10,VIRGINIA,6.2
11,UTAH,6.4
12,HAWAII,6.5
12,KANSAS,6.5
12,NEW MEXICO,6.5
15,LOUISIANA,6.9
15,MARYLAND,6.9
17,MAINE,7
17,MASSACHUSETTS,7
19,MONTANA,7.1
20,ALASKA,7.3
20,WISCONSIN,7.3
22,DELAWARE,7.6
23,PENNSYLVANIA,7.9
23,WEST VIRGINIA,7.9
25,ARKANSAS,8
25,COLORADO,8
25,NEW YORK,8
28,TEXAS,8.1
29,MISSOURI,8.2
30,CONNECTICUT,8.4
31,IDAHO,8.5
31,OHIO,8.5
33,ALABAMA,8.7
33,ARIZONA,8.7
33,WASHINGTON,8.7
36,INDIANA,9
37,NEW JERSEY,9.1
37,OREGON,9.1
37,TENNESSEE,9.1
40,KENTUCKY,9.4
41,MICHIGAN,9.8
42,GEORGIA,9.9
42,SOUTH CAROLINA,9.9
44,FLORIDA,10
44,ILLINOIS,10
44,NORTH CAROLINA,10
47,MISSISSIPPI,10.5
47,RHODE ISLAND,10.5
49,DISTRICT OF COLUMBIA,10.6
50,CALIFORNIA,11.3
51,NEVADA,13
